duration_days,survival,ci_lower,ci_upper,at_risk
53.0,0.03797018948879372,0.031048569708287146,0.04589635168498236,94
54.0,0.037144750586863416,0.030298793222648283,0.045000276169666335,92
55.0,0.03673203113589826,0.029924311041276803,0.04455184670253036,90
56.0,0.03549387278300281,0.028802538753960803,0.04320494340807251,89
57.0,0.033842994979142234,0.02731091589726509,0.04140514392140663,86
58.0,0.033017556077211914,0.02656693676693698,0.040503477506963266,82
59.0,0.03260483662624678,0.02619542337627696,0.040052185258602525,80
60.0,0.030128519920455878,0.023973369610894968,0.03733765969992866,79
61.0,0.029303081018525585,0.02323551163949388,0.036430094348251514,73
62.0,0.028477642116595297,0.022499158115833064,0.03552107990169558,71
63.0,0.02723948376369983,0.021397582286125545,0.0341547132083423,69
64.0,0.025175886508874097,0.01957006894365316,0.031869305201700567,66
65.0,0.02476316705790894,0.019205918217029834,0.031410922789417206,61
66.0,0.023923737666115413,0.018465248273327416,0.030479366114985605,59
69.0,0.022244878882528366,0.01699041008483788,0.028610007925341227,57
70.0,0.02138930661781573,0.0162405509517767,0.027656636517611702,52
71.0,0.020961520485459417,0.01586661786019961,0.027178995557198455,50
73.0,0.020533734353103107,0.015493373525169577,0.02670069450999041,49
74.0,0.019678162088390475,0.014749030132450361,0.025742037047870203,48
76.0,0.018822589823677842,0.014007689417046543,0.024780503913040677,46
80.0,0.01839480369132153,0.013638202847458213,0.024298604120373546,44
83.0,0.01839480369132153,0.013638202847458213,0.024298604120373546,43
84.0,0.017518860658401463,0.012881742987357017,0.02331326172506259,42
85.0,0.017080889141941415,0.012504945026317226,0.022819222556409623,40
87.0,0.016204946109021352,0.01175437914428464,0.02182825125819652,39
88.0,0.015329003076101277,0.011008100654699753,0.0208331891846016,37
92.0,0.014453060043181207,0.010266442944983868,0.01983372209684857,35
93.0,0.01401508852672117,0.009897464374823849,0.019332226116347866,33
95.0,0.013577117010261128,0.00952978910876679,0.018829489622867995,32
108.0,0.013577117010261128,0.00952978910876679,0.018829489622867995,31
111.0,0.013124546443252423,0.009149250889769247,0.018312109186794424,30
120.0,0.013124546443252423,0.009149250889769247,0.018312109186794424,29
121.0,0.012655812641707691,0.008754482660170555,0.017778686418347994,28
126.0,0.012655812641707691,0.008754482660170555,0.017778686418347994,27
127.0,0.011682288592345562,0.007935631379422443,0.016674223516405594,26
137.0,0.0111955265676645,0.007529905831085777,0.016118497131514586,24
142.0,0.010708764542983437,0.007126820328561703,0.015560280800555088,23
153.0,0.010222002518302365,0.0067265227594440246,0.014999438445901707,22
156.0,0.0097352404936213,0.006329178092909218,0.014435818730263844,21
157.0,0.009248478468940237,0.00593497126852872,0.013869252579323423,20
158.0,0.009248478468940237,0.00593497126852872,0.013869252579323423,19
184.0,0.00873467410955467,0.005517932415663988,0.0132769308781791,18
190.0,0.008220869750169097,0.0051053400743527825,0.012680457912549266,17
193.0,0.007707065390783529,0.004697525277804535,0.012079537304926821,16
199.0,0.007193261031397959,0.004294872294099222,0.011473827457325326,15
202.0,0.006679456672012392,0.0038978313534202506,0.010862931573575287,14
241.0,0.0061656523126268235,0.0035069356164533234,0.010246384727022766,13
244.0,0.005651847953241253,0.003122824255875394,0.00962363688854875,12
248.0,0.005138043593855685,0.0027462745873793573,0.008994030379992893,11
280.0,0.004624239234470118,0.002378248018253195,0.008356769607570555,10
300.0,0.004110434875084548,0.0020199578743113496,0.007710880217483948,9
312.0,0.003596630515698979,0.0016729734009598022,0.007055154454620134,8
321.0,0.0030828261563134113,0.0013393867996750037,0.006388081588584564,7
324.0,0.002569021796927842,0.0010220974954789686,0.0057077759439782315,6
354.0,0.002055217437542274,0.0007253332855434542,0.005011983240788747,5
435.0,0.0015414130781567057,0.0004557055271745387,0.004298606568599469,4
480.0,0.0010276087187711367,0.00022466423033750993,0.0035696254614166058,3
531.0,0.0005138043593855684,5.548354229999293e-05,0.002869978367313551,2
626.0,0.0005138043593855684,5.548354229999293e-05,0.002869978367313551,1
